id	sentence
10787	Such a wildly uneven hit-and-miss enterprise, you can't help suspecting that it was improvised on a day-to-day basis during production.
140	It is nature against progress.
9346	Vaguely interesting, but it's just too too much.
7558	It's one pussy-ass world when even killer-thrillers revolve around group therapy sessions.
5510	Sa da TAY!
2024	A compelling yarn, but not quite a ripping one.
8861	The two leads are almost good enough to camouflage the dopey plot, but so much naturalistic small talk, delivered in almost muffled exchanges, eventually has a lulling effect.
11307	The only upside to all of this unpleasantness is, given its Labor Day weekend upload, FearDotCom should log a minimal number of hits.
10826	This is a movie filled with unlikable, spiteful idiots; whether or not their friendship is salvaged makes no difference in the least.
2477	A vibrant whirlwind of love, family and all that goes with it, My Big Fat Greek Wedding is a non-stop funny feast of warmth, colour and cringe.
6318	It's clotted with heavy-handed symbolism, dime-store psychology and endless scenic shots that make 105 minutes seem twice as long.
6691	One of those films that seems tailor made to air on pay cable to offer some modest amusements when one has nothing else to watch.
9893	I saw Juwanna Mann so you don't have to.
4838	What one is left with, even after the most awful acts are committed, is an overwhelming sadness that feels as if it has made its way into your very bloodstream.
9646	The plot's contrivances are uncomfortably strained.
5045	A thriller made from a completist's checklist rather than with a cultist's passion.
4321	Mostly works because of the universal themes, earnest performances ... and excellent use of music by India's popular Gulzar and Jagjit Singh.
5273	Like Brosnan's performance, Evelyn comes from the heart.
4080	His scenes are short and often unexpected.
2172	Funny, somber, absurd, and, finally, achingly sad, Bartleby is a fine, understated piece of filmmaking.
11496	The Rules of Attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing.
978	Culkin, who's in virtually every scene, shines as a young man who uses sarcastic lies like a shield.
5522	Though overall an overwhelmingly positive portrayal, the film doesn't ignore the more problematic aspects of Brown's life.
6677	What remains is a variant of the nincompoop Benigni persona, here a more annoying, though less angry version of the irresponsible Sandlerian manchild, undercut by the voice of the star of Road Trip.
3240	What Lee does so marvelously compelling is present Brown as a catalyst for the struggle of black manhood in restrictive and chaotic America...sketchy but nevertheless gripping portrait of Jim Brown, a celebrated wonder in the spotlight
8705	This film looks like it was produced in 1954, shelved for 48 years, and repackaged for a 2002 audience.
4573	Instead, he focuses on the anguish that can develop when one mulls leaving the familiar to traverse uncharted ground.
11042	The Spalding Gray equivalent of a teen gross-out comedy.
10545	Handled correctly, Wilde's play is a masterpiece of elegant wit and artifice.
9211	Even if you're an Elvis person, you won't find anything to get excited about on this DVD.
1301	Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.
11038	A mediocre exercise in target demographics, unaware that it's the butt of its own joke.
3534	There is greatness here.
3678	Entirely appropriately, the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn.
11108	This latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff, demonstrating yet again that the era of the intelligent, well-made B movie is long gone.
8456	Lawrence preaches strictly to the converted.
8711	For all its alleged youthful fire, XXX is no less subservient to Bond's tired formula of guns, girls and gadgets while brandishing a new action hero.
1523	Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands.
8658	Passion, lip-synching, tragedy, and lots of really really high notes.
6831	Shreve's graceful dual narrative gets clunky on the screen, and we keep getting torn away from the compelling historical tale to a less-compelling soap opera.
